60	0
73	2
129	0
134	0
141	0
145	2
174	2
183	2
199	2
209	2
211	2
245	2
247	2
266	2
325	2
380	0
390	2
505	0
549	0
552	0
553	0
611	0
659	2
672	2
682	2
702	2
726	2
763	2
779	2
849	0
853	0
861	0
958	2
994	2
1000	2
1002	2
1021	2
1024	0
1026	0
1036	0
1074	0
1115	0
1135	2
1185	2
1195	2
1232	2
1245	2
1257	2
1284	2
1335	2
1341	2
1376	0
1392	0
1396	0
1403	2
1435	2
1479	2
1514	2
1523	2
1530	2
1604	2
1647	2
1660	2
1674	2
1675	2
1680	2
1720	0
1770	2
1830	2
1832	2
1837	2
1850	2
1880	2
1924	2
1939	2
1962	2
1983	2
2016	2
2018	2
2071	2
2134	2
2163	2
2176	2
2190	2
2194	2
2296	2
2327	0
2365	2
2369	2
2387	2
2412	2
2423	2
2452	0
2533	2
2554	2
2638	2
2650	2
2662	2
2674	2
2693	0
