7,2
21,2
73,2
110,2
188,2
197,2
218,2
267,2
293,2
311,2
328,2
358,2
389,2
390,2
392,2
394,2
397,2
410,2
412,2
416,2
460,2
477,2
479,2
492,2
543,2
546,2
597,2
599,2
612,2
717,0
740,0
777,0
778,0
779,0
838,0
847,0
849,0
863,0
878,0
908,0
943,0
967,0
1008,0
1033,0
1036,0
1063,0
1070,0
1100,0
1145,0
1172,0
1240,0
1313,2
1407,2
1468,2
1477,2
1490,2
1500,2
1511,2
1551,2
1585,0
1610,0
1631,0
1682,2
1720,2
1756,2
1774,2
1778,2
1794,2
1817,2
1834,0
1847,0
1886,0
1920,0
2031,2
2073,0
2107,0
2156,0
2162,0
2169,0
2185,0
2191,0
2280,2
2348,0
2370,0
2374,0
2387,2
2414,2
2417,2
2435,0
2456,0
2470,0
2530,0
2536,0
2583,0
2605,0
2626,2
2654,2
2665,0
2671,0
2675,0
