59,1
61,2
172,2
191,2
220,1
223,2
229,2
282,1
302,1
321,2
410,0
434,0
446,0
462,0
483,0
490,2
508,0
574,0
577,0
579,0
589,0
593,0
599,0
611,0
657,0
671,0
718,0
741,0
787,0
804,0
890,0
905,0
924,0
956,0
1013,0
1027,0
1036,0
1068,0
1080,0
1091,0
1145,0
1146,0
1148,0
1161,0
1167,0
1187,0
1213,2
1254,2
1256,2
1297,0
1298,0
1353,2
1363,2
1396,2
1427,2
1477,0
1494,0
1510,2
1541,2
1580,2
1602,2
1621,0
1624,0
1639,0
1656,0
1702,2
1712,2
1733,0
1765,0
1775,2
1832,0
1866,2
1890,0
1898,0
1921,0
1944,0
1968,2
2036,2
2074,0
2089,2
2098,0
2176,0
2182,2
2216,2
2342,0
2345,0
2357,0
2385,0
2438,2
2454,2
2468,0
2496,2
2501,2
2531,0
2584,0
2609,0
2629,0
2660,0
2667,2
2699,2
